"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Joc Pederson","- - -","481","8.1%","24.3%","0.33",".238",".310",".422",".732",".184","3.4",".281","0.0","-0.2","-1.2","59","0.4",".315","96","11899"
"Cesar Hernandez","PHI","667","6.7%","15.0%","0.45",".279",".333",".408",".741",".129","4.5",".313","0.4","0.5","0.6","81","-2.7",".315","91","10556"
"Jean Segura","PHI","618","4.9%","11.8%","0.41",".280",".323",".420",".743",".141","5.4",".302","4.6","0.3","0.8","75","-2.6",".315","91","5933"
"Tim Beckham","SEA","328","6.4%","31.1%","0.21",".237",".293",".461",".753",".224","3.0",".305","-1.1","-0.1","-1.2","40","-1.4",".315","99","7949"
"Kole Calhoun","LAA","654","10.9%","20.5%","0.53",".244",".333",".392",".725",".148","3.7",".284","-1.4","0.8","0.1","76","-3.4",".315","97","11200"
"Nick Ahmed","ARI","625","8.3%","18.1%","0.46",".254",".316",".437",".753",".183","5.5",".280","2.4","-0.6","0.4","76","-2.8",".315","91","12147"
"Connor Joe","COL","467","11.8%","20.8%","0.57",".238",".338",".359",".697",".121","5.3",".296","-0.2","0.0","-0.1","55","1.5",".314","87","16572"
"Jackie Bradley Jr.","BOS","567","9.9%","27.3%","0.36",".225",".317",".421",".738",".196","4.6",".281","0.2","1.6","-1.3","68","-3.1",".314","89","12984"
"Jonathan Lucroy","MIL","415","8.7%","15.4%","0.56",".264",".326",".391",".717",".127","3.8",".297","-1.4","-3.4","0.0","47","0.0",".313","95","7870"
"Odubel Herrera","PHI","492","5.9%","15.7%","0.38",".260",".310",".416",".726",".156","4.5",".285","-0.4","0.3","0.4","59","-0.8",".312","93","11476"
"Dee Strange-Gordon","MIA","695","3.6%","13.4%","0.27",".308",".341",".375",".716",".067","8.5",".354","4.4","0.2","4.7","80","-5.0",".312","94","8203"
"Wilmer Difo","PIT","240","8.3%","22.5%","0.37",".269",".329",".384",".713",".114","4.5",".340","0.6","0.8","0.0","29","-0.5",".312","94","14320"
"Billy Butler","OAK","601","8.7%","16.8%","0.51",".251",".323",".390",".713",".139","1.8",".282","-6.6","-4.2","-0.3","67","-0.9",".311","98","7399"
"Yangervis Solarte","SDP","512","7.2%","11.9%","0.61",".255",".314",".416",".731",".161","2.4",".258","-0.6","-2.8","0.3","58","-4.2",".311","91","5352"
"Gio Urshela","NYY","442","4.5%","24.7%","0.18",".267",".301",".419",".720",".152","2.8",".329","-4.0","-1.9","-0.1","52","-1.9",".309","96","10681"
"Eric Hosmer","SDP","667","6.0%","24.4%","0.25",".265",".310",".425",".735",".160","2.3",".323","-3.3","-0.3","-1.6","78","-6.3",".309","92","3516"
"Justin Smoak","TOR","341","11.7%","32.8%","0.36",".217",".314",".391",".705",".174","1.8",".295","-0.5","-0.4","0.0","38","-2.6",".309","92","9054"
"Nolan Arenado","COL","201","7.5%","10.0%","0.75",".253",".303",".434",".738",".181","1.3",".241","0.3","-0.7","-0.1","23","-2.0",".308","76","9777"
"Freddy Galvis","- - -","589","4.8%","24.6%","0.19",".260",".296",".438",".734",".178","3.2",".312","0.2","-0.7","-0.3","68","-6.4",".307","89","6609"
"Jesus Aguilar","- - -","369","11.7%","22.0%","0.53",".236",".325",".389",".714",".153","1.1",".272","-0.9","-0.8","-0.2","42","-4.0",".307","89","11342"
"Yan Gomes","CLE","383","8.1%","25.8%","0.31",".232",".309",".399",".708",".167","1.4",".283","0.8","-0.4","-0.2","42","-4.5",".307","85","9627"
"Chad Pinder","OAK","233","6.9%","26.6%","0.26",".243",".300",".411",".712",".168","4.2",".313","0.3","-0.9","0.0","27","-1.5",".307","99","15191"
"Austin Romine","NYY","265","6.4%","25.3%","0.25",".244",".295",".417",".713",".174","2.6",".292","-1.1","-1.6","0.1","29","-1.7",".307","92","5491"
"Wilson Ramos","TBR","224","4.5%","16.1%","0.28",".260",".290",".447",".737",".188","0.5",".262","-1.0","-2.0","-0.1","25","-2.7",".307","93","1433"
